"Queens of the Stone Age",1012
"System Of A Down",924
"Wolfmother",891
"The Doors",869
"Gorillaz",770
"Kyuss",682
"Judas Priest",660
"Kadavar",594
"The Strokes",550
"Blur",528
"Black Sabbath",517
"Arctic Monkeys",495
"Beastie Boys",462
"Taxi",352
"Radiohead",319
"Motörhead",319
"Ornatos Violeta",308
"Metallica",286
"The Chemical Brothers",275
"Halestorm",231
"Janis Joplin",231
"Blues Pills",231
"The Black Keys",231
"Stevie Wonder",209
"AC/DC",209
"Antonio Variacoes",209
"Red Hot Chili Peppers",198
"Graveyard",198
"Pearl Jam",187
"Slash",187
"Kaiser Chiefs",176
"PJ Harvey",165
"Soundgarden",165
"Eagles Of Death Metal",154
"The Kooks",154
"The Offspring",154
"Audioslave",154
"Bloc Party",154
"Nirvana",143
"Truckfighters",143
"Deep Purple",143
"Tomahawk",143
"Jack White",143
"Alice In Chains",143
"Guns N' Roses",132
"Stoned Jesus",132
"Clã",132
"Muse",132
"Gabriel O Pensador",132
"Slayer",132
"Foo Fighters",121
"John Garcia",121
"Spiders",121
"Marcelo D2",121
"The Sugarhill Gang",121
"Portishead",121
"Alabama Shakes",121
"Xandria",121
"5-30",121
"Stone Dead",121
"Grandmaster Flash & The Furious Five",110
"Linda Martini",110
"Speedy Ortiz",110
"Iggy Pop",99
"The Sword",99
"Big Brother & The Holding Company",99
"Ghostface Killah",88
"Acid King",66
"The BellRays",55
"Grandmaster Flash",55
"O Bisonte",55
"Funky 4+1",55
"The Aviators",55
"Ghostface",44
"West Street Mob",44
"Ludwig van Beethoven",44
"Royal Blood",33
"Nas",33
"Spoonie Gee",33
"Peter Tosh",33
"The Vaccines",33
"Grandmaster Melle Mel",33
"Crash Crew",33
"Supertramp",33
"DMX",22
"Will Smith",22
"Big Pun",22
"Busy Bee",22
"KRS-One",22
"A Tribe Called Quest",22
"T-Pain",22
"Busta Rhymes",22
"Positive Force",22
"Clipse",22
"Cypress Hill",22
"Mobb Deep",22
"FU-Schnickens",22
"The Sequence",22
"Wu-Tang Clan",22
"Fugees",22
"Run–D.M.C.",22
"The Kartoon Krew",11
"The Treacherous Three",11
"Superwolf",11
"Archive",11
"Elbow",11
"Youngbloodz",11
"Dungeon Family",11
"Three 6 Mafia",11
"The Who",11
"The Beatnuts",11
"Da Brat",11
"2nd II None",11
"Funkdoobiest",11
"Ghost",11
"Too $hort",11
"Sporty Thievz",11
"CeeLo Green",11
"Dr. Dre",11
"Jermaine Dupri",11
"Delinquent Habits",11
"Stream of Passion",11
"The Rolling Stones",11
"Prodigy",11
"Erick Sermon",11
"Petey Pablo",11
"Consequence",11
"Poor Righteous Teachers",11
"Tricky",11
"Velvet Revolver",11
"Gang Starr",11
"DJ Quik",11
"OutKast",11
"Cella Dwellas",11
"DJ Jazzy Jeff & The Fresh Prince",11
"Epica",11
"Kreayshawn",11
"Foals",11
"UGK",11
"Sweet Tee",11
"Tha Alkaholiks",11
"Akinyele",11
"Rhymefest",11
"Kool Moe Dee",11
"Candyman",11
"Goodie Mob",11
"D-Shot",11
"Cam’ron",11
"Faith No More",11
"Anthrax",11
"n2deep",11
"Schoolly D",11
"Bow Wow",11
"Cassidy",11
"J. Cole",11
"Colour Haze",11
"X-Wife",11
"Ms. Lauryn Hill",11
"Souls Of Mischief",11
"Nipsey Hussle",11
"Nine",11
"Mystikal",11
"Brand Nubian",11
"Interpol",11
"Xzibit",11
"MC Eiht",11
"Ca$h Out",11
"E-40",11
"Melvins",11
"Tarja",11
"Lord Tariq",11
"Big L",11
"Sugarhill All Stars",11
"White Lies",11
"Boogie Down Productions",11
"Josh Homme",11
"Common",11
"Elton John",11
"A$AP Rocky",11
"Fatboy Slim",11
"Sia",11
"Metal Church",11
"Buckshot LeFonque",11
"Hole",11
"Future",11
"M.O.P.",11
"JAY Z",11
"Dead Prez",11
"Camp Lo",11
"Jim Morrison",11
"Whodini",11
"J-Kwon",11
"The Furious Five",11
"Rob Base & DJ EZ Rock",11
"Kool G Rap",11
"Special Ed",11
"Pras",11
"Them Crooked Vultures",11
"T.I.",11
"DJ Muggs",11
